title,저자,발행기관,발행연도,핵심어
실내 자율주행에 적합한 SLAM과 전역경로생성 방법을 적용한 휠체어로봇 구현                      = Implementation of Wheelchair Robot Applying SLAM and Global Path Planning Methods Suitable for Indoor Autonomous Driving,백수진,대한임베디드공학회,2021,"['Autonomous Mobile Robot', 'Visual SLAM', 'Navigation', 'Global Path Planning']"
커넥티드 기술을 활용하는 전기자동차에 대한 속도 최적화,이웅(Woong Lee),한국자동차공학회,2021,"['Electric Vehicles(전기 자동차)', 'Automated Vehicles(자율주행 자동차)', 'Speed Profile Optimization(속도 최적화)', 'Optimal Control(최적제어)', 'Dynamic Programming(동적 계획법)', 'Connectivity Technology(커넥티드 기술)']"
체계최적원리에 따른 자율주행차량 통행배정 방법론 연구,전창현,한국ITS학회,2021,
자율주행셔틀 인식에 대한 연구: 시민체험단 설문조사를 바탕으로,김세훈,대한교통학회,2021,
자율주행 화물자동차와 화물운송시장,이지선,한국교통연구원(KOTI),2021,
안전사고 예방 기능이 적용된 스마트 전동카트 개발,김지원(Ji-won Kim),한국컴퓨터정보학회,2021,"['스마트 모빌리티(Smart mobility)', '라인 트레이싱(Line tracing)', '자율 주행(Automatic Driving)', '주행보조(Driving assistance)']"
기구축 공간데이터를 활용한 3차원 건물모델의 위치정합 기법 연구 - ICP 알고리즘 구현 중심으로 -                      = A Study on Position Matching Technique for 3D Building Model using Existing Spatial Data - Focusing on ICP Algorithm Implementation -,이재희,한국국토정보공사 공간정보연구원,2021,['3']
외란으로 인한 도달영역을 고려한 안전한 자율주행차 경로계획법,이윤우(Yun-woo Lee),한국통신학회,2021,"['자율주행', '경로계획', '도달성 분석', 'Autonomous driving', 'Path planning', 'Reachability Analysis']"
자율주행자동차의 안전 및 보안을 위한 설계 및 검증 표준: ISO/TR 4804,이성수(Seongsoo Lee),한국전기전자학회,2021,"['ISO/TR 4804', 'Safety', 'Security', 'Autonomous Driving', 'ISO 26262', 'ISO/PAS 21448', 'ISO 21434']"
자율주행보안과 ISO인증 선도 방안에 대한 연구,김향덕,한국ITS학회,2021,
정밀도로지도 제작을 위한 Web GIS 기반 HD Map 프로토타입 구축 연구                      = A Study on Building the HD Map Prototype Based on Web GIS for the Generation of the Precise Road Maps,권용하 ( Yong-ha Kwon ),한국지리정보학회(The Korean Association of Geographic Information Studies),2021,"['HD Map', 'Web GIS', '자율주행', '정밀도로지도', 'Autonomous Driving', 'Precise Road Map']"
스마트한 자율주행을 위한 고속도로 C-ITS의 개발 방향,이선관,대한교통학회,2021,
인간 및 인공지능의 초지능 협력사회 실현을 위한 현대 인공지능 기술의 한계점 분석과 인문사회학적 통찰력에 대한 메타 연구                      = A meta-study on the analysis of the limitations of modern artificial intelligence technology and humanities insight for the realization of a super-intelligent cooperative society of human and artificial intelligence,황수림,한국정보통신학회,2021,"['AI ethics', 'Trolley dilemma', 'Analysis of the limitations', 'Engineering education', '인공지능 윤리', '트롤리 딜레마', '한계점 분석', '공학교육']"
자율 주행 자동차 보안 위협,조세라(Sarah Cho),대한전자공학회,2021,
공간효율화를 위한 개인맞춤형 자율주행차 시트 컨셉 제안,"홍성경(Hong, Sung Kyung)",한국자동차공학회,2021,"['Small moving space', 'Style set free', 'Personalized Design', 'UX expansion']"
자율주행자동차 관련 도로교통법제 정비와 중국 법제의 시사점                      = The Modification of the Road Traffic Laws Regarding Autonomous Vehicles and the Implications of Chinese Laws,"김정진(Kim, Jung-Jin)",4차산업혁명융합법학회,2021,"['도로교통법', '자율주행', '자율주행 인프라', '자율주행자동차', '자율주행자동차 사고', '자율주행자동차 상용화 촉진 및 지원에 관한 법률', 'Road Traffic Act', 'autonomous driving', 'autonomous driving infra', 'autonomous vehicle', 'autonomous vehicle accident', 'The Act on the Promotion and Support of Commercialization of Autonomous Vehicles']"
독일 자율주행법(Gesetz zum autonomen Fahren)에 대한 일고찰,"이재훈(Lee, Jae-Hoon)",한국비교공법학회(KOREAN COMPARATIVE PUBLIC LAW ASSOCIATION),2021,"['자율주행자동차', '자율주행법', '도로교통법', '자율주행 레벨4', '무인주행', '독일 자율주행', 'autonomous driving', 'German Autonomous Driving Act', 'Road Traffic Act', 'SAE Level 4', 'driverless operation of the vehicle', 'autonomous driving in Germany']"
"K-9자주포의 자율주행 및 자주포 무인화 기술의 타당성 검토                      = A Feasibility Study of Autonomous Driving and Unmanned Technology of Self-Propelled Artillery, K-9",구건우(Keon-Woo Koo),한국전자통신학회,2021,"['자율 주행', 'K-9 자주포', '인공 지능', '암비안 OS', 'Autonomous driving', 'K-9 Self-propelled Artillery', 'Artificial Intelligence', 'Armbian OS']"
2021년 교통기술혁신 전망과 과제 - 자율주행차와 UAM을 중심으로 -,신희철,한국교통연구원(KOTI),2021,
자율주행자동차 KNCAP(자동차안전도평가) 도입 시 평가항목과 고려사항에 관한 연구                      = A Study on Assessment Items and Considerations for Development of KNCAP of Automated Driving System,우현구,사단법인 한국자동차안전학회,2021,"['KNCAP(Korean new car assessment program)', 'ADS(Automated driving system)', 'Assessment Items', 'Considerations', '자동차안전도평가', '자율주행자동차', '평가항목', '고려사항']"
교육대학원에서의 인공지능 교과목 운영 사례                      = A Case Study of Artificial Intelligence Education Course for Graduate School of Education,한규정,한국정보교육학회,2021,"['인공지능교육', '엔트리', '엔트리 활용교육', '머신러닝교육', '인공지능과 피지컬 컴퓨팅', 'Artificial Intelligence in Education', 'Entry', 'Entry in Education', 'Machine Learning Education', 'AI and Physical Education']"
가상 환경과 실제 환경의 병행 강화학습을 통한 실내 자율주행                      = Indoor Autonomous Driving through Parallel Reinforcement Learning of Virtual and Real Environments,정유석,한국산업정보학회,2021,"['Deep Learning', 'Virtual Environment', 'Real Environment', 'Parallel Learning', 'Sensor', 'Feature Point Detection', '딥러닝', '가상 환경', '실제 환경', '병행 학습', '센서', '특징점 검출']"
서울시 자율주행 정책 진단과 발전방안,한영준(Youngjun Han),서울연구원,2021,
자율주행 차량에서의 차선 수준의 지도 정보를 활용한 차량 경로 예측,김산민(Sanmin Kim),한국자동차공학회,2021,"['Trajectory Prediction(경로 예측)', 'Deep Learning(심층 학습)', 'Autonomous Vehicle(자율주행 자동차)', 'Map-based Prediction(지도정보기반예측)']"
자율사물을 활용한 도서관 활성화 방안 연구                      = A Study on the Library Activation Plan Using Autonomous Objects,노영희,한국도서관정보학회,2021,
도서관의 인공지능(AI) 서비스 현황 및 서비스 제공 방안에 관한 연구                      = A Study on the Current State of the Library's AI Service and the Service Provision Plan,곽우정,한국도서관정보학회,2021,"['AI', 'AI']"
도로교통법상 개인형 이동장치에 대한 개선방향에 있어서의 비판적 연구                      = A Critical Study on the Improvement of Personal Mobility Devices in Road Traffic Act,임규철,동국대학교 비교법문화연구소,2021,"['전동킥보드', '원동기장치자전거', '도로교통법', '자전거 이용 활성화에 관한 법률', '주의의무', 'electric kickboard', 'motor bike', 'Road Traffic Act', 'Act on the Promotion of Bicycle Use', 'duty of care']"
신문 빅데이터를 이용한 e스포츠의 드론 축구 관련 키워드 분석                      = Keyword Analysis Related to Drone Soccer in e-Sports Using the Newspaper Big Data,지동철,한국스포츠엔터테인먼트법학회(The Korean Association of Sports Law),2021,"['신문', '빅데이터', 'e스포츠', '드론 축구', '키워드 분석', '정부 정책', '4차 산업혁명', 'newspaper', 'big data', 'e-Sports', 'drone soccer', 'keyword analysis', 'government policy', 'the 4th industrial revolution']"
시나리오 기반 자율주행차 사용자 경험 디자인 콘셉트 제안                      = Proposal of User Scenario-based Autonomous Vehicle User Experience Design Concept,박기철,한국디자인트렌드학회,2021,"['Autonomous Vehicle', 'UX Design', 'User Scenarios', '자율주행차', '사용자 경험 디자인', '사용자 시나리오']"
실내 자율주행 안내로봇                      = The implemention of an indoor Self-driving Robot,최한지,순천향대학교 부설 산업기술연구소(Institute for Industrial Technology SOONCHUNHYANG UNIVERSITY),2021,"['Autonomous Robots', 'Hector Slam', 'Destination']"
한국 금융산업의 2030 비전과 과제 : 보험산업 - 코로나 위기 이후 금융의 디지털화를 중심으로 -,김재현,한국금융연구원,2021,
로봇운영체제를 이용한 보트의 자율운항 알고리즘 개발,조현재(Hyun-Jae Jo),대한조선학회,2021,"['Robot Operating System(ROS', '로봇운영체제)', 'Light Detection And Ranging(LiDAR', '라이다)', 'Proportional Integral Derivation Control(PID 제어)', 'Autonomous driving(자율주행)', 'Obstacle avoidance(장애물 회피)', 'Safety zone(안전구역)']"
TensorRT를 활용한 저복잡도 인공지능 자율 주행 기술,김현열(Hyunyeol Kim),한국통신학회,2021,
자율 주행 차량(AV)의 트롤리 딜레마 문제와 AI 윤리교육의 과제                      = The Trolley Dilemma of Autonomous Vehicles and the Challenges of AI Ethics Education,박형빈 ( Park Hyoungbin ),서울교육대학교 초등교육연구원,2021,"['자율 주행 차량', '도덕기계', '도덕 딜레마', 'AI 윤리교육', '트롤리 딜레마', 'Autonomous vehicle(AV)', 'Moral machine', 'Moral dilemma', 'AI ethics education', 'Trolley dilemma']"
미국 캘리포니아 자동차관리국 제출 해제보고서 기반 자율 주행 해제 원인 분석 연구 (2017-2019),좌호정(Haozheng Zuo),한국자동차공학회,2021,"['Autonomous Driving(자율주행)', 'Disengagement of Autonomous Driving(자율주행해제)', 'Take over(제어권전환)', 'Disengagement Report(해제보고서)']"
메카넘 휠 기반 수동휠체어 자율 주행 시스템,신재호(J. H. Shin),한국생산제조학회,2021,"['Mecanum wheel', 'Autonomous driving', 'Wheelchair', 'Ackerman geometry']"
자율주행차 사고의 포렌식 조사를 위한 제언                      = Suggestions for Forensic Investigation of Autonomous Traffic Accidents,박정환,전북대학교 동북아법연구소,2021,"['Autonomous Vehicle', 'Artificial Intelligence', 'Accident Investigation', 'Digital Forensics', ""AI Driver's License"", '자율주행차', '인공지능', '사고조사', '디지털포렌식', '인공지능 운전면허']"
자율주행 자동차의 전역지도 생성을 위한 LeGO-LOAM 개선 방법,장재헌(J. H. Jang),Korean Society for Precision Engineering,2021,"['Self-driving', 'SLAM', 'LeGO-LOAM', 'LOAM']"
"미래 자동차 디자인 변화에 대한 고찰: 자동차 기술, 시장 환경, 사용자 변화 중심으로                      = A Study on Future Vehicle Design Focused on Change of Technology, Environment and User",신지훈,차세대컨버전스정보서비스학회,2021,"['EV', 'Autonomous Vehicle', 'Millennial Design', 'Mobility Design', '전기차', '자율주행자동차', 'MZ 세대', '모빌리티 디자인']"
CAN-over-Ethernet을 이용한 차량용 PLCA 이더넷 성능평가                      = Performance Evaluation of Automotive PLCA Ethernet Using CAN-over-Ethernet (CoE),민지현,한국통신학회,2021,"['Vehicular communications', 'CAN communications', 'CAN-over-Ethernet (CoE)', 'PLCA Ethernet', 'Latency']"
미래세대를 위한 메타버스(Metaverse)의 실효성과 법적 쟁점에 관한 논의                      = A Legal Study on the effectiveness and legal issues of Metaverse for future generations,이준복 ( Lee¸ Joonbok ),홍익대학교 법학연구소(The Law Research Institute),2021,"['메타버스', '미래세대', '증강현실', '가상현실', '프라이버시권', '지적재산권', '퍼블리시티권', '데이터기본법안', 'Metaverse', 'Future generations', 'Augmented reality', 'Virtual reality', 'Right to privacy', 'Intellectual property', 'Right of publicity', 'Framework bill on data']"
Edge Data를 활용한 CNN 기반의 자율주행자동차 학습데이터 경량화 방안,이호준,한국ITS학회,2021,"['자율주행자동차', 'Edge Data', 'CNN', '학습데이터', '스토리지 용량']"
자율주행 대중교통서비스 제공을 위한 교통소외지역 선정 방법론 개발 : 경기도 읍면동을 중심으로,서영훈,한국ITS학회,2021,"['교통소외지역', '자율주행', '대중교통', '계층적 클러스터링', '경기도']"
디지털 트윈 소프트웨어 아키텍처와 개발 사례,김영진,한국컴퓨터통신연구회,2021,
자율주행 트랙터를 위한 강화학습 기반 적응형 추종 제어기 개발 연구                      = Study on Development of a Reinforcement Learning-based Adaptive Path-tracking Controller for Autonomous Tractor,박승진 ( Seung-jin Park ),한국농업기계학회(The Korean Society of the Agricultureal machinery),2021,"['경로추종', '강화학습', '전방 주시거리', '시뮬레이션', '현장 실험']"
재난약자 대피 도움장치 시제품 상용화를 위한 테스트베드 및 피난시뮬레이션 적용 연구,최두찬,한국재난정보학회,2021,"['자율주행', '수평 대피 도움장치', '수직형 탑승기', '피난 시뮬레이션', '주요 변수']"
지하 터널 환경에서 3차원 라이다를 이용한 모바일 로봇 자율주행,정민욱(Minwook Jeong),대한전기학회,2021,
교차로 시나리오 기반 V2X를 활용한 자율주행차량의 위험성 분석 및 고장안전성 검증 연구,백윤석,한국ITS학회,2021,"['V2X', '신호 교차로', '위험성 분석', '안전성 검증', '고장 주입', 'V2X', 'Intersection', 'HARA', 'Fail-safe verification', 'Fault Injection']"
자율주행 시 차량 시트의 햅틱 피드백 감지                      = Detection of Haptic Feedback from the Vehicle Seat during Automated Driving,이휘우,대한인간공학회,2021,"['Haptic feedback in the vehicle seat', 'Vibrator locations of the vehicle seat', 'Vibration recognition']"
공공부문 디지털 수준진단 모델 개발 및 활용방안                      = Developing a diagnostic model for the digital transformation level in the public sector,김준형 ( Kim Jun Houng ),한국행정연구원,2021,
