title,저자,발행기관,발행연도,핵심어
자율주행자동차 도입 필요성에 영향을 미치는 요인분석: 판교제로시티를 중심으로,고대성,대한교통학회,2021,
메카넘 휠 기반의 전방향 이동 로봇의 개발,김봉한(B. H. Kim),Korean Society for Precision Engineering,2021,"['Mecanum wheel', 'Mobile robot', 'Omni-directional robot']"
화물차 군집주행 대열 끼어들기(Cut-in)시 화물차 차량 간격과 끼어들기 운전자 심리상태 상관관계 분석을 위한 시나리오 설계,박현진,대한교통학회,2021,
미래예견적 국정관리와 정부운영(II): 지능형 정부인사관리를 중심으로                      = Anticipatory Governance and Government Operations (Ⅱ): A Focus on Intelligent Government HR,김윤권 ( Kim Yunkwon ),한국행정연구원,2021,
도로의 경사도에 따른 자율주행 가속도 추정 모델                      = Autonomous Driving Acceleration Estimation Model According to the Slope of the Road,박경욱,대한임베디드공학회,2021,"['Longitudinal control', '상위제어기', '하위제어기', 'Low control unit (LCU)', 'Slope', 'Weight', 'Sigmoid Function', 'Fail/Safe', 'raspberry pi 4 Model B']"
무인 자율주행차량 수출물류 체계 개선 연구                      = Re-engineering for Export Logistics System of Autonomous Vehicle Distribution,김용섭 ( Kim Yong-sub ),한국해운물류학회,2021,"['자율주행차', '항만물류', '수출물류', 'Ro-Ro항만터미널', 'Ro-Ro선박', 'Fully autonomous vehicle(FAV)', 'port logistics', 'export logistics', 'Ro-Ro terminal', 'Ro-Ro vessels']"
포스트 팬데믹 시대 드론 물류배송을 위한 지하철 역사의 활용방안                      = Utilization of Subway Stations for Drone Logistics Delivery in the Post-Pandemic Era,문상원,한국콘텐츠학회(The Korea Contents Society),2021,"['Living Logistics Industry', 'Drone Transportation', 'Logistics Storage Space', 'COVID-19', '생활물류산업', '드론 운송', '물류보관공간', 'COVID-19']"
자율운항선박 상용화 이후 선박사고에 있어 선장과 원격운항자간 형사책임에 관한 연구,김태규,한국해양경찰학회,2021,"['자율운항선박', '선장', '원격운항자', '행사책임', '사고조사위원회', 'Autonomous Ships', 'Captain', 'Remote Operation', 'Criminal Responsibility', 'Accident Investigation Committee']"
자율협력주행을 위한 도로인프라 변화 방향 조사,윤재용,대한교통학회,2021,
자동차 승객보호를 위한 안전장치 해석모델 및 승객거동 연구                      = Study of Restraint System Computational Model and Occupant Behavior for Vehicle Occupant Protection,한경희,사단법인 한국자동차안전학회,2021,"['Occupant Protection', 'Restraint System', 'Automated Driving', 'Finite Element Method', 'Occupant Behavior Analysis', '승객 보호', '승객 보호 장치', '자율 주행', '유한요소법', '승객 거동 해석']"
