title,저자,발행기관,발행연도,핵심어
"자동차 안전, AI에 감시당하는가 지배당하는가",박용성(Yong-sung Park),한국자동차공학회,2020,
내고장성(Fault-Tolerant) 차량용 반도체 기술 동향,김수진,한국통신학회(Korea Institute Of Communication Sciences ),2020,
자율주행기술의 현실과 전망,허건수(Kunsoo Huh),한국자동차공학회,2020,
플랫폼기업과 여객운송규제에 대한 연구                      = A Study on Platform Companies and Passenger Transport Regulations,"김병오(Kim, Byeong-o)",원광대학교 법학연구소,2020,"['플랫폼운송기업', '공유경제', '승차공유', '카풀', '우버', 'Platform Transport Company', 'Sharing Economy', 'Car Sharing', 'Car Pool', 'Uber']"
악천후 자율주행을 위한 Deep Joint Deraining and Dehazing 네트워크,이윤관(Younkwan Lee),한국정보과학회,2020,
자율주행차 산업 활성화를 위한 AI 데이터 구축 전략,이승택(SeungTaek Lee),한국정보과학회,2020,
비대면 시스템 구현을 위한 자율주행 서빙 로봇                      = Automobile Serving Robot for Untact System,홍정훈 ( Jeoun-hun Hong ),한국정보처리학회,2020,
[ZOOM UP : 한국남부발전] 태백 귀네미풍력 8기 상업운전 개시 : 올해 2월 종합준공… 석탄구매 절감 기대_자율주행 드론 활용해 발전설비 품질 확보,배상훈,전력문화사,2020,
VCCN에서 Content Store 교체 알고리즘의 성능에 관한 연구,최종인,국제문화기술진흥원,2020,"['Content Store', 'Replacement Algorithm', 'VANET', 'VCCN', 'SUMO', 'ns-3']"
5G 서비스들에 대한 회계분리 방안 연구                      = Accounting Separation of 5G Services,강병민 ( Byung Min Kang ),정보통신정책학회,2020,"['5G망의 특성과 서비스', '회계분리', '배부기준자', '5G network characteristics and services', 'Accounting separation', 'Allocators']"
군집분석 기반 자율주행차의 도로 주행 안정성 분석 및 주요 요인에 관한 연구,김동욱,대한교통학회,2020,
도시부 자율주행 아키텍처 및 동적정보 제공 서비스,임이정,대한교통학회,2020,
자율주행 대중교통서비스 이용 영향요인 연구 : 판교제2테크노밸리 통근자 중심으로,"빈미영(BHIN, Miyoung)",대한교통학회,2020,"['autonomous vehicle transit services (AVTS)', 'commuters', 'pangyo 2nd techno valley', 'pangyo zero shuttle (PAZES)', 'Plackett-Burman (PB) experimental design', '자율주행 대중교통 서비스(AVTS)', '통근자', '판교 제2테크노밸리', '판교제로셔틀(PAZES)', 'Plackett-Burman (PB) 실험설계']"
제조물책임에 대한 형사책임의 부과와 수사 - 자동차산업의 사례를 중심으로 -,"백건하(Baek, Geonha)",경찰대학 범죄수사연구원,2020,"['제조물책임', '제조물책임법', '형사책임', '자동차산업', '자율주행자동차', 'Product Liability', 'Product Liability Act', 'Criminal Liability', 'Automotive Industry', 'Self-driving Car (Autonomous Vehicle)']"
데이터 카탈로그 실증을 위한 교통데이터 서비스 개발,"박은미(PARK, Eun Mi)",대한교통학회,2020,"['Connected and Automated Public TrAnsit INnovation data', 'data catalog', 'DCAT', 'transportation data', 'user interface', '자율주행기반 대중교통시스템 데이터', '데이터 카탈로그', '교통 데이터', '사용자 인터페이스']"
슬라이딩 모드 제어기를 이용한 자율 주행 차량의 자동 차선 변경 시스템 설계,김진성(Jin Sung Kim),한국자동차공학회,2020,"['Autonomous Driving Vehicle(자율주행차량)', 'Lane Change System(차선변경시스템)', 'Sliding mode Control(슬라이딩모드제어)', 'Advanced Driver Assistance System(첨단운전자보조시스템)']"
AI융합 지능로보틱스 연구개발현황,최정단,한국기술혁신학회,2020,"['자율주행 모빌리티 서비스', '소셜로봇', '이동작업로봇', '인공지능', '엣지 및 클라우드 컴퓨팅']"
주행시뮬레이터 기반 자율주행 이용자 행태 및 영향 분석,정경옥(Gyeongok JEONG),한국교통연구원(KOTI),2020,
